Nomor,Kitab,Bab,indo
279,Mandi,Orang yang junub berwudhu lalu tidur',"'Jika Nabi shallallahu 'alaihi wasallam hendak tidur saat dirinya dalam kondisi junub, maka beliau membasuh kemaluannya dan berwudlu sebagaimana wudlu untuk shalat.'"
301,Haid,Apakah seorang wanita boleh shalat menggunakan pakaian yang pern',"'Tidaklah ada seorang dari kami kecuali memiliki satu baju yang saat mengalami haid. Jika baju tersebut terkena darah haid, ia dia basahi dengan air ludahnya lalu membersihkanya dengan kukunya.'"
303,Haid,Wanita menggosok badannya ketika mandi dari haid dan cara dia ma',"'Seorang wanita bertanya kepada Nabi shallallahu 'alaihi wasallam tentang cara mandi dari haid. Beliau lalu memerintahkan wanita itu bagaimana cara mandi. Beliau bersabda: 'Ambillah sepotong kapas yang diberi wewangian lalu bersucilah.' Wanita itu bertanya, 'Bagaimana aku bersucinya? Beliau menjawab"
302,Haid,Memakai wewangian bagi wanita ketika mandi dari haid',"'Kami dilarang berkabung atas kematian di atas tiga hari kecuali atas kematian suami, yaitu selama empat bulan sepuluh hari. Selama masa itu dia tidak boleh bersolek, memakai wewangian, memakai pakaian yang berwarna kecuali pakaian lurik (dari negeri Yaman). Dan kami diberi keringanan bila hendak ma"
296,Haid,Mencuci darah haid',"'Seorang wanita bertanya kepada Rasulullah shallallahu 'alaihi wasallam, katanya, 'Wahai Rasulullah, bagaimana pendapatmu bila seorang dari kami bajunya terkena darah haid. Apa yang harus dilakukannya?' Rasulullah shallallahu 'alaihi wasallam lalu menjawab: 'Jika darah haid mengenai pakaian seorang "
294,Haid,Wanita yang sedang haid melaksanakan seluruh manasik haji kecual','Kami keluar bersama Nabi shallallahu 'alaihi wasallam dan tidak ada yang kami ingat kecuali untuk menunaikan hajji. Ketika kami sampai di suatu tempat bernama Sarif aku mengalami haid. Lalu Nabi shallallahu 'alaihi wasallam masuk menemuiku saat aku sedang menangis. Maka beliau bertanya: 'Apa yang m
293,Haid,Wanita yang sedang haid meninggalkan puasa',"'Rasulullah shallallahu 'alaihi wasallam pada hari raya 'Iedul Adlha atau Fitri keluar menuju tempat shalat, beliau melewati para wanita seraya bersabda: 'Wahai para wanita! Hendaklah kalian bersedekahlah, sebab diperlihatkan kepadaku bahwa kalian adalah yang paling banyak menghuni neraka.' Kami ber"
299,Haid,Itikaf bagi wanita yang sedang mustahadhah',"'Nabi shallallahu 'alaihi wasallam pernah beri'tikaf bersama salah seorang dari isterinya. Ia melihat ada darah dan cairan berwarna kekuningan, lalu di bawahnya diletakkan baskom sementara ia tetap mengerjakan shalat.'"
304,Haid,Mandi dari haid',"'Seorang wanita Anshar bertanya kepada Nabi shallallahu 'alaihi wasallam, 'Bagaimana caranya aku bersuci dari haid?' Beliau lalu menjawab: 'Ambillah sepotong kapas yang diberi wewangian lalu bersihkanlah tiga kali.' Kemudian Nabi shallallahu 'alaihi wasallam merasa malu lalu memalingkan mukanya, ata"
306,Haid,Mengurai rambut bagi wanita yang mandi dari haid',"'Kami keluar bertepatan saat nampak hilal bulan Dzul Hijjah. Rasulullah shallallahu 'alaihi wasallam lalu bersabda: 'Siapa yang ingin memulai haji dengan Umrah hendaklah ia lakukan. Sekiranya aku tidak membawa hewan sembelihan, aku lebih suka melakukan Umrah lebih dahulu.' Maka sebagian para sahabat"
298,Haid,Itikaf bagi wanita yang sedang mustahadhah',"'Nabi shallallahu 'alaihi wasallam pernah beri'tikaf bersama dengan sebagian isteri-isterinya, sementara saat itu ia sedang mengalami istihadlah dan bisa melihat adanya darah (yang keluar). Dan kadang diletakkan sebuah baskom di bawahnya lantaran darah tersebut. Dan Ikrimah mengklaim bahwa 'Aisyah m"
308,Haid,Bagaimana wanita yang sedang haid melakukan ihram (dan bertalbiy',"'Kami keluar bersama Rasulullah shallallahu 'alaihi wasallam pada saat haji Wada'. Di antara kami ada yang bertalbiah dengan Umrah dan ada pula yang bertalbiah dengan haji. Ketika kami sudah sampai di Makkah, Rasulullah shallallahu 'alaihi wasallam bersabda: 'Barangsiapa berihram dengan Umrah dan ti"
307,Haid,Firman Allah Ta\'ala: Yang kejadiannya sempurna dan yang tidak s',"'Sesungguhnya Allah Ta'ala menugaskan satu Malaikat dalam rahim seseorang. Malaikat itu berkata, 'Ya Rabb, (sekarang baru) sperma. Ya Rabb, segumpal darah!, Ya Rabb, segumpal daging! ' Maka apabila Allah berkehendak menetapkan ciptaan-Nya, Malaikat itu bertanya, 'Apakah laki-laki atau wanita, celaka"
300,Haid,Itikaf bagi wanita yang sedang mustahadhah','Sebagian Ummul Mukminin melakukan iktikaf sementara mereka mengeluarkan darah istihadlah.'
312,Haid,Menggunakan pakaian khusus untuk haid selain pakaian saat suci',"'Ketika aku berbaring bersama Nabi shallallahu 'alaihi wasallam dalam satu selimut aku mengalami haid. Maka aku pergi diam-diam dan mengambil baju khusus haidku, beliau bertanya: 'Apakah kamu sedang haid?' Aku jawab, 'Ya.' Beliau lalu memanggilku, maka aku pun berbaring bersamanya dalam satu selimut"
305,Haid,Seorang wanita menyisir rambutnya ketika mandi dari haid','Aku bertalbiyah (memulai haji) bersama Rasulullah shallallahu 'alaihi wasallam pada haji Wada'. Dan aku adalah di antara orang yang melaksanakannya dengan cara tamattu' namun tidak membawa hewan sembelihan.' Aisyah menyadari bahwa dirinya mengalami haid dan belum bersuci hingga tiba malam 'Arafah. 
310,Haid,Wanita haid tidak mengqadha shalat yang ditinggalkannya ketika s',"'Apakah seorang dari kita harus melaksanakan shalat yang ditinggalkannya bila sudah suci?' 'Aisyah menjawab, 'Apakah kamu dari kelompok Khawarij! Sungguh kami pernah mengalami haid di sisi Nabi shallallahu 'alaihi wasallam, dan beliau tidak memerintahkan kami untuk itu.' Atau Aisyah mengatakan, 'Kam"
311,Haid,Tidur bersama istri yang sedang haid dan berselimut bersamanya d',"'Saat aku berada dalam satu selimut bersama Nabi shallallahu 'alaihi wasallam, aku mengeluarkan darah haid, kemudian pelan-pelan aku keluar dari selimut mengambil pakaian (khusus untuk haid) dan mengenakannya. Rasulullah shallallahu 'alaihi wasallam bertanya kepadaku: 'Apakah kamu sedang haid?' Aku "
309,Haid,Awal dan akhir masa haid','Itu seperti keringat dan bukan darah haid. Jika haid datang maka tinggalkanlah shalat dan jika telah selesai mandilah dan shalatlah.'
314,Haid,Jika seorang wanita mengalami tiga kali masa haid dalam sebulan ',"'Aku mengeluarkan darah istihadlah (penyakit). Apakah aku tinggalkan shalat?' Beliau menjawab: 'Jangan, karena itu hanyalah darah penyakit seperti keringat. Tinggalkanlah shalat selama masa haidmu, setelah itu mandi dan kerjakanlah shalat.'"
319,Haid,Jika wanita yang sedang mengalami haid melihat tanda-tanda suci',"'Nabi shallallahu 'alaihi wasallam bersabda: 'Jika datang haid maka tinggalkanlah shalat, dan bila telah berakhir maka bersihkanlah darah darimu lalu shalatlah.'"
321,Haid,Menshalatkan wanita yang meninggal dunia dalam keadaan nifas ser',"'a mengalami haid dan tidak melaksanakan shalat. Dan ia tidur di depan tempat sujud Rasulullah shallallahu 'alaihi wasallam yang saat itu sedang shalat di atas tikar (kecil) nya, jika sujud beliau maka sebagian kainnya mengenaiku.'"
313,Haid,Wanita haid menghadiri shalat dua Hari Raya dan mendegarkan khut',"'Dahulu kami melarang anak-anak gadis remaja kami ikut keluar untuk shalat pada dua hari raya. Hingga suatu hari ada seorang wanita mendatangi desa Qashra Banu Khalaf, wanita itu menceritakan bahwa suami dari saudara perempuannya pernah ikut berperang bersama Nabi shallallahu 'alaihi wasallam sebany"
315,Haid,Cairan kuning dan coklat yang keluar diluar masa-masa haid','Kami tidak menganggap warna keruh dan kekuningan sebagai sesuatu dari haid.'
323,Tayamum,"Firman Allah Lalu kalian tidak mendapatkan air, maka bertayam'","'Aku diberikan lima perkara yang tidak diberikan kepada orang sebelumku; aku ditolong melawan musuhku dengan ketakutan mereka sejauh satu bulan perjalanan, dijadikan bumi untukku sebagai tempat sujud dan suci. Maka dimana saja salah seorang dari umatku mendapati waktu shalat hendaklah ia shalat, dih"
325,Tayamum,Tayamum bagi muqim yang tidak mendapatkan air',"'Aku mendengar Umair mantan budak Ibnu Abbas, ia berkata, 'Aku dan Abdullah bin Yasar, mantan budak Maimunah, isteri Nabi shallallahu 'alaihi wasallam berangkat pergi, hingga ketika kami sampai kepada Abu Juhaim Ibnul Harits bin Ash Shimmah Al Anshari, ia berkata, 'Nabi shallallahu 'alaihi wasallam "
318,Haid,Seorang wanita mengalami haid setelah melaksanakan tawaf ifadala',"'Wanita yang haid diberi keringanan untuk nafar (meninggalkan Mina), dan pada mulanya Ibnu Umar melarang hal itu, namun kemudian aku mendengar ia mengatakan, 'Wanita haid boleh nafar karena Rasulullah shallallahu 'alaihi wasallam telah memberi keringanan buat mereka.'"
316,Haid,Darah (penyakit) istihadhah',"'Ummu Habibah mengeluarkan darah istihadlah (darah penyakit) selama tujuh tahun. Lalu ia bertanya kepada Rasulullah shallallahu 'alaihi wasallam tentang masalah itu. Beliau lalu memerintahkan kepadanya untuk mandi, beliau bersabda: 'Ini seperti keringat (darah penyakit).' Maka Ummu Habibah selalu ma"
317,Haid,Seorang wanita mengalami haid setelah melaksanakan tawaf ifadala',"'Wahai Rasulullah, Shafiyyah binti Huyai sedang haid?' Rasulullah shallallahu 'alaihi wasallam menjawab: 'Jangan-jangan dia menyusahkan kita! Apakah dia thawaf bersama kalian?' Mereka menjawab, 'Ya.' Beliau lalu bersabda (kepada Shafiyyah): 'Ikutlah keluar.'"
327,Tayamum,Bertayamum dengan mengusap wajah dan kedua telapak tangan',"; telah mengabarkan kepada kami Syu'bah telah mengabarkan kepada kami Al Hakam dari Dzarri dari Sa'id bin 'Abdurrahman bin Abza dari bapaknya, telah berkata, pula 'Ammar tentang maslah ini; Maka Syu'bah memukulkan telapak tangannya ke tanah lalu mendekatkannya kepada mulutnya kemudian mengusapkannya"
329,Tayamum,Bertayamum dengan mengusap wajah dan kedua telapak tangan','Aku bergulingan (di atas pasir) lalu menemui Nabi shallallahu 'alaihi wasallam. Maka beliau pun bersabda: 'Cukup bagimu (mengusap debu) pada muka dan kedua telapak tangan.' Telah menceritakan kepada kami Muslim telah menceritakan kepada kami Syu'bah dari Al Hakam dari Dzar dari Ibnu 'Abdurrahman da
330,Tayamum,Bertayamum dengan mengusap wajah dan kedua telapak tangan',"' Ammar berkata, 'Nabi shallallahu 'alaihi wasallam memukulkan telapak tangannya ke tanah lalu mengusapkan pada muka dan kedua telapak tangannya.'"
332,Tayamum,"Jika seorang yang junub khawatir atas dirinya menjadi sakit, '","'Jika seseorang tidak menemukan air maka ia boleh tidak shalat.' 'Abdullah menjawab, 'Jika aku beri keringanan kepada mereka dalam masalah ini, maka ketika salah seorang mendapati musim dingin pasti ia akan berkata seperti ini 'yakni Tayamum dan shalat'. Abu Musa berkata, 'Maka aku katakan, 'Kalau b"
322,Tayamum,"Firman Allah Lalu kalian tidak mendapatkan air, maka bertayam'","'Kami keluar bersama Rasulullah shallallahu 'alaihi wasallam dalam salah satu perjalanan yang dilakukannya. Hingga ketika kami sampai di Baida', atau tempat peristirahatan pasukan, aku kehilangan kalungku. Maka Nabi shallallahu 'alaihi wasallam dan para sahabatnya mencarinya sementara mereka tidak b"
320,Haid,Menshalatkan wanita yang meninggal dunia dalam keadaan nifas ser','da seorang wanita yang meninggal dunia karena hamil. Maka Nabi shallallahu 'alaihi wasallam menshalatinya dan beliau berdiri di bagian tengah (jenazah) nya.'
326,Tayamum,Apakah orang yang bertayamum meniup debu ditelapak tangannya?',"'Seorang laki-laki datang kepada Umar Ibnul Khaththab dan berkata, 'Aku mengalami junub tapi tidak mendapatkan air?' Maka berkata lah 'Ammar bin Yasir kepada 'Umar bin Al Khaththab, 'Tidak ingatkah ketika kita dalam suatu perjalanan? Saat itu engkau tidak mengerjakan shalat sedangkan aku bergulingan"
324,Tayamum,Bagaimana bila tidak mendapatkan air dan debu?',"'Semoga Allah membalasmu dengan segala kebaikan. Sungguh demi Allah, tidaklah terjadi suatu peristiwa menimpa anda yang anda tidak sukai kecuali Allah menjadikannya untuk anda dan Kaum Muslimin sebagai kebaikan.'"
331,Tayamum,Tanah yang bersih cukup sebagai sarana bersuci bagi Kaum Musl',"'Kami pernah dalam suatu perjalanan bersama Nabi shallallahu 'alaihi wasallam, kami berjalan di waktu malam hingga ketika sampai di akhir malam kami tidur, dan tidak ada tidur yang paling enak (nyenyak) bagi musafir melebihi yang kami alami. Hingga tidak ada yang membangunkan kami kecuali panas sina"
333,Tayamum,"Jika seorang yang junub khawatir atas dirinya menjadi sakit, '","'Bagaimana pendapatmu wahai Abu 'Abdurrahman bila seseorang mengalami junub dan tidak mendapatkan air. Apa yang harus ia lakukan?' 'Abdullah menjawab, 'Ia tidak boleh shalat hingga mendapatkan air.' Abu Musa berkata, 'Bagaimana engkau menyikapi perkataan 'Ammar ketika Nabi shallallahu 'alaihi wasall"
335,Tayamum,Tayamum dengan sekali tepukan (menempelkan kedua telapak tang',"'Wahai fulan, apa yang menghalangi kamu untuk shalat bersama orang-orang?' Maka orang itu menjawab: 'Wahai Rasulullah, aku mengalami junub dan tidak ada air.' Maka Nabi shallallahu 'alaihi wasallam bersabda: 'Wajib bagi kamu menggunakan tanah dan itu sudah cukup buatmu.'"
334,Tayamum,Tayamum dengan sekali tepukan (menempelkan kedua telapak tang',"'Seandainya ada seseorang mengalami junub dan tidak mendapatkan air selama satu bulan, apakah dia bertayamum dan shalat? Dan bagaimana pendapatmu dengan ayat ini di dalam Surah Al Maidah ayat 6: '(Lalu kamu tidak memperaleh air, maka bertayammumlah dengan tanah yang baik (bersih) '? 'Abdullah, 'Sean"
328,Tayamum,Bertayamum dengan mengusap wajah dan kedua telapak tangan',"'Kami sedang dalam perjalanan, kemudian kami junub?' dia menjawab, 'Hendaknya bertayamum.'"
337,Shalat,Bagaimana shalat diwajibkam pada malam Isra\'',"'Allah telah mewajibkan shalat, dan awal diwajibkannya adalah dua rakaat dua rakaat, baik saat mukim atau saat dalam perjalanan. Kemudian ditetapkanlah ketentuan tersebut untuk shalat safar (dalam perjalanan), dan ditambahkan lagi untuk shalat di saat mukim.'"
341,Shalat,Shalat dengan menggunakan sehelai pakaian','Nabishallallahu 'alaihi wasallam shalat dengan mengenakan satu kain yang diikatkan pada kedua sisinya.'
345,Shalat,Shalat dengan menggunakan sehelai pakaian','Apakah setiap orang dari kalian memiliki dua baju?'
336,Shalat,Bagaimana shalat diwajibkam pada malam Isra\'',"'Saat aku di Makkah atap rumahku terbuka, tiba-tiba datang Malaikat Jibril Alaihis Salam. Lalu dia membelah dadaku kemudian mencucinya dengan menggunakan air zamzam. Dibawanya pula bejana terbuat dari emas berisi hikmah dan iman, lalu dituangnya ke dalam dadaku dan menutupnya kembali. Lalu dia memeg"
347,Shalat,Jika shalat menggunakan sehelai pakaian hendaklah mengikatkann',"'Aku pernah mendengar, atau aku pernah bertanya kepadanya, ia berkata, 'Aku mendengar Abu Hurairah berkata, 'Aku bersumpah bahwa aku mendengar Rasulullah shallallahu 'alaihi wasallam bersabda: 'Barangsiapa shalat dengan menggunakan satu kain, maka hendaklah ia serempangkan pada kedua pundaknya.'"
342,Shalat,Shalat dengan menggunakan sehelai pakaian','ia melihat Nabi shallallahu 'alaihi wasallam shalat di rumah Ummu Salamah dengan mengenakan satu kain yang kedua sisinya digantungkan pada kedua pundaknya.'
344,Shalat,Shalat dengan menggunakan sehelai pakaian',"'Aku berkunjung kepada Rasulullah shallallahu 'alaihi wasallam pada hari pembebasan Makkah, aku dapati beliau mandi sementara Fatimah, puteri beliau menutupinya dengan tabir.' Ummu Hani' binti Abu Thalib berkata, 'Aku lantas memberi salam kepada beliau, lalu beliau bertanya: 'Siapakah ini?' Aku menj"
340,Shalat,Mengikatkan pakaian di tengkuk ketika shalat',"'Aku melihat Jabir bin 'Abdullah melaksanakan shalat dengan mengenakan satu pakaian. Lalu dia berkata, 'Aku pernah melihat Nabi shallallahu 'alaihi wasallam shalat dengan mengenakan (satu) kain.'"
349,Shalat,Apabila pakaian yang dikenakan untuk shalat sempit','Kaum laki-laki shalat bersama Nabi shallallahu 'alaihi wasallam dengan mengikatkan kain pada leher-leher mereka seperti bayi. Lalu dikatakan kepada kaum wanita: 'Janganlah kalian mengangkat kepala kalian hingga para laki-laki telah duduk.'
338,Shalat,Wajibnya melaksanakan shalat dengan menggunakan pakaian',"'Kami diperintahkan untuk mengajak keluar (wanita) haid dan wanita yang sedang dipingit pada dua hari raya, sehingga mereka bisa menyaksikan jama'ah kaum Muslimin dan mendo'akan mereka, lalu menjauhkan wanita-wanita haid dari tempat shalat mereka.' Seorang wanita lalu, 'Wahai Rasulullah, di antara k"
343,Shalat,Shalat dengan menggunakan sehelai pakaian','Aku melihat Rasulullah shallallahu 'alaihi wasallam shalat di rumah Ummu Salamah dengan mengenakan satu kain yang menutupi seluruh badannya yang diletakkan pada kedua pundaknya.'
339,Shalat,Mengikatkan pakaian di tengkuk ketika shalat',"'Jabir mengerjakan shalat dengan mengenakan sarung yang ia ikatkan pada leher (tengkuk), sementara pakaiannya ia gantungnya di gantungan baju. Seseorang lalu berkata kepadanya, 'Kenapa kamu shalat dengan menggunakan satu kain!' Jabir bin Samurah menjawab, 'Aku lakukan itu agar bisa dilihat oleh oran"
348,Shalat,Apabila pakaian yang dikenakan untuk shalat sempit',"'Kami bertanya kepada Jabir bin 'Abdullah tentang shalat dengan mengenakan satu lembar kain. Maka ia menjawab, 'Aku pernah shalat bersama Nabi shallallahu 'alaihi wasallam dalam salah satu perjalanannya. Pada suau malamnya aku datang untuk keperluanku. Saat itu aku dapati beliau sedang shalat dengan"
346,Shalat,Jika shalat menggunakan sehelai pakaian hendaklah mengikatkann',"'Rasulullah shallallahu 'alaihi wasallam bersabda: 'Janganlah salah seorang dari kalian shalat dengan menggunakan satu kain, hingga tidak selembar pun kain yang menutupi kedua pundaknya.'"
351,Shalat,Tidak disukainya badan terbuka (selain penutup aurat) ketika s',"' Pamannya, Al 'Abbas, lalu berkata kepadanya, 'Wahai anak saudaraku, seandainya kainmu engkau letakkan pada pundakmu tentu batu akan lebih ringan. Maka beliau lepas dan dipakaikannya di pundaknya, tiba-tiba beliau terjatuh dan pingsan. Setelah peristiwa itu tidak pernah Nabi shallallahu 'alaihi was"
350,Shalat,Shalat dengan menggunakan jubah buatan negeri Syam',"'Aku pernah bersama Nabi shallallahu 'alaihi wasallam dalam suatu perjalanan, beliau bersabda: 'Wahai Mughirah, ambilkan segayung air.' Aku lalu mencarikan air untuk beliau, dan Rasulullah shallallahu 'alaihi wasallam pergi manjuah hingga tidak terlihat olehku untuk buang hajat. Saat itu beliau meng"
354,Shalat,Sesuatu yang digunakan untuk menutup aurat','Rasulullah shallallahu 'alaihi wasallam melarang seseorang mengenakan pakaian shama` (berselimut sehingga seluruh bagian badannya tertutup) dan melarang seseorang duduk ihtiba` dengan selembar kain hingga tidak ada yang menutupi bagian kemaluannya.'
353,Shalat,"Shalat memakai gamis, celana panjang, celana pendek, dan mante'","'Ada seseorang bertanya kepada Rasulullah shallallahu 'alaihi wasallam, 'Apa yang harus dikenakan oleh seseorang saat ihram?' Rasulullah shallallahu 'alaihi wasallam menjawab: 'Dia tidak boleh mengenakan baju, celana, mantel dan tidak boleh pula pakaian yang diberi minyak wangi atau wewangian dari d"
355,Shalat,Sesuatu yang digunakan untuk menutup aurat','Nabi shallallahu 'alaihi wasallam melarang dua macam jual beli; jual beli Al Limas dan An Nibadz. Dan melarang dari dua cara berpakaian; berpakaian shama` dan seorang laki-laki duduk ihtiba dengan mengenakan satu kain.'
352,Shalat,"Shalat memakai gamis, celana panjang, celana pendek, dan mante'","'Seorang laki-laki datang dan bertanya kepada Rasulullah shallallahu 'alaihi wasallam tentang shalat dengan menggunakan satu lembar baju. Maka Rasulullah shallallahu 'alaihi wasallam pun bersabda: 'Apakah setiap kalian memiliki dua helai baju?' Kemudian ada seseorang bertanya kepada 'Umar, lalu ia m"
356,Shalat,Sesuatu yang digunakan untuk menutup aurat',"'Pada hari Nahr (Idul Adlha) Abu Bakar mengutusku kepada para pemberi pengumuman saat pelaksanaan haji, di Mina kami umumkan bahwa orang Musyrik tidak boleh berhaji setelah tahun ini dan tidak boleh thawaf dengan keadaan telanjang.' Humaid bin 'Abdurrahman berkata, 'Kemudian Rasulullah shallallahu '"
358,Shalat,Masalah berkenaan paha (apakah termasuk aurat?)',"'Allahu Akbar, binasalah Khaibar dan penduduknya! Sungguh, jika kami mendatangi halaman suatu Kaum, maka (amat buruklah pagi hari yang dialami oleh orang-orang yang diperingatkan itu) ' (Qs. Asf Shaffaat: 177). Beliau mengucapkan kalimat ayat ini tiga kali.' Anas bin Malik melanjutkan, '(Saat itu) o"
362,Shalat,Shalat mengenakan baju luar yang terbuat dari sutera lalu mena',"'Nabi shallallahu 'alaihi wasallam diberi hadiah berupa kain yang terbuat dari sutra, lalu beliau memakainya dan shalat. Setelah selesai, beliau menyingkirkannya dengan keras seakan tidak suka, beliau bersabda: 'Ini tidak patut bagi orang yang bertakwa.'"
359,Shalat,Dalam berapa lembar pakaian seharusnya wanita melaksanakan sha',"'Rasulullah shallallahu 'alaihi wasallam shalat fajar dan ikut juga wanita-wanita Mu'minat yang wajahnya tertutup dengan kerudung, kemudian kembali ke rumah mereka masing-masing tanpa diketahui oleh seorangpun.'"
360,Shalat,Jika seseorang shalat dengan pakaian yang ada gambarnya lalu d',"'Pergilah dengan membawa kain ini kepada Abu Jahm dan gantilah dengan pakaian polos dari Abu Jahm. Sungguh kain ini tadi telah mengganggu shalatku.' Hisyam bin 'Urwah berkata dari Bapaknya dari 'Aisyah berkata, 'Nabi shallallahu 'alaihi wasallam bersabda: 'Aku melihat pada gambarnya dan aku khawatir"
357,Shalat,Shalat tanpa meggunakan rida\' (selendang yang lebar)',"'Aku masuk menemui Jabir bin 'Abdullah yang saat itu sedang shalat dengan menggunakan kain sarung yang diikatkannya pada tengkuk, sedangkan pakaiannnya diletakkan pada gantungan baju. Setelah selesai kami bertanya, 'Wahai Abu 'Abdullah, bagaimana kamu shalat sedangkan kain rida' (selendang) mu kau g"
363,Shalat,Shalat mengenakan baju berwarna merah',"'Aku melihat Rasulullah shallallahu 'alaihi wasallam berada dalam kemah merah yang terbuat dari kulit yang disamak. Dan aku lihat Bilal mengambilkan air wudlu untuk Rasulullah shallallahu 'alaihi wasallam, dan aku lihat orang-orang saling berebut air tersebut. Orang yang mendapatkanya maka ia langsu"
364,Shalat,"Shalat di atap, di atas mimpar dan atau di atas kayu'","'Orang-orang bertanya kepada Sahal bin Sa'd tentang terbuat dari apa mimbar Rasulullah? Maka dia berkata, 'Tidak ada seorangpun yang masih hidup dari para sahabat yang lebih mengetahui masalah ini selain aku. Mimbar itu terbuat dari batang pohon hutan yang tak berduri, mimbar itu dibuat oleh seorang"
369,Shalat,Shalat di atas alas tidur (kasur)',"'Aku pernah tidur di depan Rasulullah shallallahu 'alaihi wasallam sementara kedua kakiku di arah Qiblat (shalatnya). Jika sujud beliau menyentuh kakiku, maka aku tarik kedua kakiku. Dan jika berdiri aku kembali meluruskan kakiku.' 'Aisyah berkata, 'Pada saat itu di rumah-rumah belum ada lampu pener"
361,Shalat,Jika seseorang shalat dengan pakaian yang ada salibnya atau ga',"'Singkirkanlah kain ini dari kita, karena gambar-bambarnya selalu menggangguku dalam shalatku.'"
366,Shalat,Jika orang yang shalat ketika sujud pakaiannya menyentuh istri',"'Pernah Rasulullah shallallahu 'alaihi wasallam shalat sementara aku berada di sampingnya, dan saat itu aku sedang haid. Dan setiapkali beliau sujud, pakaian beliau mengenai aku. Dan beliau shalat di atas tikar kecil.'"
370,Shalat,Shalat di atas alas tidur (kasur)',"'Aisyah mengabarkan kepadanya, bahwa ketika Rasulullah shallallahu 'alaihi wasallam sedang shalat Aisyah pernah tidur di arah kiblat beliau, ia tidur di atas kasur dengan posisi seperti jenazah.'"
374,Shalat,Shalat dengan memakai khuff (sepatu yang menutupi maka kaki)',"'Aku pernah melihat Jarir bin 'Abdullah kencing, lalu ia berwudlu dan mengusap dua sepatunya lalu berdiri shalat. Maka hal itu ditanyakan kepadanya, ia lantas menjawab, 'Aku pernah melihat Rasulullah shallallahu 'alaihi wasallam berbuat seperti ini.' Ibrahim berkata, 'Yang jadi mengherankan mereka a"
375,Shalat,Shalat dengan memakai khuff (sepatu yang menutupi maka kaki)',"'Aku memberi air wudlu kepada Nabi shallallahu 'alaihi wasallam, beliau lalu mengusap kedua sepatunya dan shalat.'"
365,Shalat,"Shalat di atap, di atas mimpar dan atau di atas kayu'","'Sesungguhnya dijadikannya imam itu untuk diikuti. Jika imam bertakbir maka takbirlah kalian, jika rukuk maka rukuklah kalian, jika sujud maka sujudlah kalian, dan jika ia shalat dengan berdiri maka shalatlah kalian dengan berdiri.' Kemudian Beliau shallallahu 'alaihi wasallam turun kembali setelah "
368,Shalat,Shalat di atas al-khumrah (alas kecil khusus untuk tempat suju','Nabi shallallahu 'alaihi wasallam shalat di atas tikar kecil.'
367,Shalat,Shalat di atas tikar',"'Berdirilah, aku akan pimpin kalian shalat.' Anas berkata, 'Maka aku berdiri di tikar milik kami yang sudah lusuh dan hitam akibat sering digunakan. Aku lalu memercikinya dengan air, kemudian Rasulullah shallallahu 'alaihi wasallam berdiri diatasnya. Aku dan seorang anak yatim lalu membuat barisan d"
376,Shalat,Shalat bila tidak menyempurnakan sujud',"'Kamu belum shalat!' Orang itu berkata, 'Aku rasa sudah cukup.' Hudzaifah berkata lagi, 'Seandainya kamu meninggal, maka kamu meninggal dunia bukan di atas sunah Muhammad shallallahu 'alaihi wasallam.'"
373,Shalat,Shalat dengan memakai sandal',"'Aku bertanya kepada Anas bin Malik, 'Apakah Nabi shallallahu 'alaihi wasallam pernah shalat dengan memakai sandal?' Dia menjawab, 'Ya.'"
377,Shalat,Menampakkan ketiak dan merenggangkan lengan saat sujud',"' Al Laits berkata, telah menceritakan kepadaku Ja'far bin Rabi'ah seperti itu.'"
381,Shalat,Firman Allah Dan jadikanlah sebagian dari maqam Ibrahim sebaga',"'Kami pernah bertanya kepada Ibnu 'Umar tentang seseorang yang thawaf di Ka'bah untuk 'Umrah tetapi tidak melakukan sa'i antara Shafa dan Marwah. Apakah dia boleh berhubungan (jima') dengan isterinya?' Maka Ibnu 'Umar berkata, 'Nabi shallallahu 'alaihi wasallam datang Makkah, lalu thawaf mengeliling"
372,Shalat,Sujud di atas kain dalam cuaca sangat panas',"'Kami shalat bersama Nabi shallallahu 'alaihi wasallam, lalu salah seorang dari kami meletakkan salah satu dari ujung bajunya di tempat sujudnya karena panasnya tempat sujud.'"
371,Shalat,Shalat di atas alas tidur (kasur)',"'etika Nabi shallallahu 'alaihi wasallam sedang shalat, 'Aisyah berbaring antara beliau dengan arah kiblatnya, di atas tempat tidur yang digunakan untuk tidur keduanya.'"
380,Shalat,"Arah kiblat bagi penduduk Madinah, Syam dan penduduk Timur ( d'","'Jika kalian mendatangi masuk ke dalam WC, maka janganlah kalian menghadap ke arah kiblat dan jangan pula membelakanginya. Tetapi menghadaplah ke timurnya atau ke baratnya.' Abu Ayyub berkata, 'Ketika kami datang ke Syam, kami dapati WC rumah-rumah di sana dibangun menghadap kiblat. Maka kami alihka"
379,Shalat,Keutamaan menghadap kiblat dengan menghadapkan jari jemari ked',"'Rasulullah shallallahu 'alaihi wasallam bersabda: 'Aku diperintah untuk memerangi manusia hingga mereka mengucapkan Laa ilaaha illallah (Tidak ada Tuhan yang berhak disembah selain Allah) '. Jika mereka mengucapkannya kemudian mendirikan shalat seperti shalat kita, menghadap ke kiblat kita dan meny"
